Rango1,Unidad_lito1,Edad1,Abreviatura1,Rango2,Unidad_lito2,Edad2,Abreviatura2
Volcánicos,Cushnirumi,TD,Csh,,,,
Volcánicos,Cushnirumi,TA,Csh,,,,
Volcánicos,Cushnirumi,RD,Csh,,,,
Volcánicos,Cushnirumi,AA,Csh,,,,
Volcánicos,Imbabura,Avl,Imb,,,,
Volcánicos,Imbabura,TA,Imb,,,,
Volcánicos,Mojanda-Fuya fuya,Avl,Moj,,,,
Volcánicos,Mojanda-Fuya fuya,TA,Moj,,,,
Volcánicos,Mojanda-Fuya fuya,AA,Moj,,,,
Volcánicos,Ñagñaro,AA,Ña,,,,
Volcánicos,Parulo,AA,Pr,,,,
Volcánicos,Pichaví,AA,Pch,,,,
Volcánicos,Pilabo,AA,Pil,,,,
Volcánicos,Tumbatu,TRd ,Tu,,,,
Volcánicos,Yanaurcu,AA,Ya,,,,
,Cuarzodiorita Uzhar,O?,Uz,,,,
,Diorita El Descanso,O,Ed,,,,
,Granodiorita Azafrán,J,Saz,,,,
,Granitoide Portachuela,M,Po,,,,
,Granodiorita Tangula,K,Ta,,,,
,Ofiolita Zumba,^,Z,,,,
