Rango1,Unidad_lito1,Edad1,Abreviatura1,Rango2,Unidad_lito2,Edad2,Abreviatura2
,,,,,Granitoide La Florida,^,Mf
,,,,,Granodiorita Marcabeli,^,Mm
Complejo,Intrusivo de Zamora,J,Z,,,,
Complejo,Mafico Piedras,^,P,,,,
Complejo,Penas Blancas,|^,Pb,,,,
Complejo,Ofiolitico Raspas,K,R,,,,
Division,Melange Palenque,JK,P,,,,
Unidad,Abanin,MPL,Ab,,,,
Unidad,Agoyan (Loja),|,La,,,,
Unidad,Ahuaca,M,Ah,,,,
Unidad,Alao-Paute (Alao),J,Aa,,,,
Unidad,Altar Urcu,E,Au,,,,
Unidad,Amorgeo,MPL,A,,,,
Unidad,Arenillas (Piedras),^,Pa,,,,
Unidad,Arrayanes,E,Ar,,,,
Unidad,Ayapamba,OM,Ay,,,,
Unidad,Azabi,O?,Az,,,,
Unidad,Calera (Saraguro),OM,Ca,,,,
Unidad,Capicashi ,M,Cp,,,,
Unidad,Catacocha,OM?,Ct,,,,
Unidad,Cerro Volador,EO,V,,,,
Unidad,Chili Fruta,M,Cf,,,,
Unidad,Chilla,M,Ch,,,,
Unidad,Chillacocha,MPL,Cc,,,,
Unidad,Chilpe Potrero (Saraguro),O,Cp,,,,
Unidad,Chiriyacu,^?,C,,,,
Unidad,Chito,J,Cht,,,,
Unidad,Chulo (Saraguro),E,Sc,,,,
Unidad,Collapi,PcE,C,,,,
Unidad,Colorado,K,Co,,,,
Unidad,Condorcaca,MPL?,Cc,,,,
Unidad,Conguime,PL?,Cg,,,,
Unidad,Corral Viejo (Saraguro),O,Cv,,,,
Unidad,Culanga,PL,Cu,,,,
Unidad,Cullo Pugro,M,Cp,,,,
Unidad,Cuyuja (Salado),J,Sc,,,,
Unidad,Del Duco (Saraguro),O,D,,,,
Unidad,El Aromo,E,Ea,,,,
Unidad,El Carmen del Laurel,PL,Cl,,,,
Unidad,El Cristal,MPL,Ec,,,,
Unidad,El Fundo,PL,F,,,,
Unidad,El Guayabo,JK,Gy,,,,
Unidad,El Ingenio (Saraguro),O?,Ei,,,,
Unidad,El Laurel,E,L,,,,
Unidad,El Pan (Alao),J,Ae,,,,
Unidad,El Quingueado (Saraguro),O,Eq,,,,
Unidad,El Tambo (Saraguro),O,Et,,,,
Unidad,El Tigre (Tahuin),|,Tt,,,,
Unidad,El Toro,K,Ot,,,,
Unidad,Fasanan,MPL,F,,,,
Unidad,Filo Cajas (Saraguro),EO?,Sfc,,,,
Unidad,Florida Alta,Pc,Fa,,,,
Unidad,Gima  (Saraguro),O,Gi,,,,
Unidad,Gonzabal,Pc,Gb,,,,
Unidad,Granadilla (Saraguro),O,G,,,,
Unidad,Gualaceo,MPL,G,,,,
Unidad,Gualel,O,Gl,,,,
Unidad,Guasuntos (Guamote),J,Gg,,,,
Unidad,Guayabal,OM,Gl,,,,
Unidad,Gulacpamba,M,Gu,,,,
Unidad,Gullian,M,Gn,,,,
Unidad,Huacapamba,|,Lh,,,,
Unidad,Huartiguro,MPL,Ht,,,,
Unidad,Huayco,M,Hy,,,,
Unidad,Huayrapungu,O,H,,,,
Unidad,Huinacay,MPL,Hn,,,,
Unidad,Iguinda,K,Ig,,,,
Unidad,Illaca,M,Il,,,,
Unidad,Infiernillo,PL,If,,,,
Unidad,Irunuma,K,Ir,,,,
Unidad,Isimanchi,|,I,,,,
Unidad,Jalincapac,M,Jc,,,,
Unidad,La Bocana (Moromoro),^,Mb,,,,
Unidad,La Chilca (Raspas),K,Or,,,,
Unidad,La Cruz,Pc,Lc,,,,
Unidad,La Cubera,Pc,C,,,,
Unidad,La Florida,^,Mf,,,,
Unidad,La Huaca,M,Lh,,,,
Unidad,La Ramada,K,Ra,,,,
Unidad,La Saquea,J,Sa,,,,
Unidad,La Victoria (Tahuin),|,Tv,,,,
Unidad,Las Nieves (Saraguro),O,Ln,,,,
Unidad,Ligcho,MPL,Lg,,,,
Unidad,Limon Playa,^,Ml,,,,
Unidad,Loma Bernabe,Pc,Lbe,,,,
Unidad,Loma Las Muchicas,M,Llm,,,,
Unidad,Loma Palta,OM,Lp,,,,
Unidad,Loma Taminanga,EO,T,,,,
Unidad,Loma Zhio,M,Lz,,,,
Unidad,Los Encuentros,Pc,Le,,,,
Unidad,Maguazo (Alao),J,Am,,,,
Unidad,Mesa Loma,M,Ml,,,,
Unidad,Minas Santa Rosa,K,Ms,,,,
Unidad,Mishquiyacu,O,Mi,,,,
Unidad,Monte Olivo (Loja),^,Lm,,,,
Unidad,Mozo,M,Mz,,,,
Unidad,Mulaute,K,Ml,,,,
Unidad,Namasara,M,Na,,,,
Unidad,Naranjal,K,Na,,,,
Unidad,Naranjo,K,Nj,,,,
Unidad,Natividad,K,Nt,,,,
Unidad,Nonadel,E,No,,,,
Unidad,Nueva Esperanza,J,Ne,,,,
Unidad,Pachicutza,^,Pch,,,,
Unidad,Pallatanga,K,Pa,,,,
Unidad,Pasa Loma,MPL,Pl,,,,
Unidad,Peltetec (Alao),J,Ap,,,,
Unidad,Pilaton,K,Pl,,,,
Unidad,Piuntza,^,Pz,,,,
Unidad,Plan del Oso,<?,Po,,,,
Unidad,Portovelo (Saraguro),OM,Pv,,,,
Unidad,Primavera,OM,Pr,,,,
Unidad,Pucapamba,M,Pu,,,,
Unidad,Pucaron,J?,Pc,,,,
Unidad,Pujili,K,Pj,,,,
Unidad,Punin (Guamote),J,Gp,,,,
Unidad,Punta de Piedra,K,Pp,,,,
Unidad,Punay (Saraguro),OM?,Spn,,,,
Unidad,Purin,M,Pr,,,,
Unidad,Quebrada El Volcan,^?,Qv,,,,
Unidad,Quebrada Plata (Piedras),^,Pp,,,,
Unidad,Quebrada Tasqui ,M,Qt,,,,
Unidad,Quera Chico (Moromoro),^,Mq,,,,
Unidad,Quilanga,PL,Ql,,,,
Unidad,Quilloloma ,M,Q,,,,
Unidad,Retama (Saraguro),OM,R,,,,
Unidad,Rio Cala,K,Rc,,,,
Unidad,Rio Desgracia,K,Rd,,,,
Unidad,Rio Frio,K,Rf,,,,
Unidad,Rio Guayacu,Pc,Rg,,,,
Unidad,Rio Ona (Saraguro),O,Ro,,,,
Unidad,Rio Panupali (Raspas),K,Op,,,,
Unidad,Rio Sinincapa (Saraguro),O,Rs,,,,
Unidad,Rumipamba,M,Ru,,,,
Unidad,Sabanilla (Loja),^,Ls,,,,
Unidad,Sacapalca,E?,Sa,,,,
Unidad,San Juan,K,Sj,,,,
Unidad,San Juan de Lachas,OM,Sjl,,,,
Unidad,San Miguel de Naranjal,E,Sn,,,,
Unidad,San Vicente,Pc,Sv,,,,
Unidad,Saquisili,Pc,S,,,,
Unidad,Sarihuina,MPL,Sn,,,,
Unidad,Sayo Cruz,M,Sac,,,,
Unidad,Shaime,K,Sh,,,,
Unidad,Shincata,PLPl,Sh,,,,
Unidad,Silante,EO,Si,,,,
Unidad,Solanda,E,Sd,,,,
Unidad,Suro,PL,Su,,,,
Unidad,Susudel (Saraguro),O,Su,,,,
Unidad,Tagsha,MPL,Th,,,,
Unidad,Tambillo,MPL,Ta,,,,
Unidad,Tambo Pamba (Saraguro),O,Tp,,,,
Unidad,Tapala,J?,Ta,,,,
Unidad,Taqui (Piedras),^,Pt,,,,
Unidad,Tesalia,O,Te,,,,
Unidad,Tomebamba (Saraguro),O,Stb,,,,
Unidad,Tortugo,E,To,,,,
Unidad,Tres Lagunas (Loja),^,L,,,,
